Date,Mean_UV,Variance_UV
2024-05-19,125536.66666666667,4467310527.555554
2024-05-20,127284.66666666667,4414378522.22222
2024-05-21,120845.66666666667,3600822647.888888
2024-05-22,121949.33333333333,4609551656.888888
2024-05-23,105947.0,3347765647.0
2024-05-24,125448.33333333333,3884013623.8888893
2024-05-25,126236.66666666667,5037148399.555554
2024-05-26,130871.0,4388351895.0
2024-05-27,125198.33333333333,4570793951.888888
2024-05-28,108094.0,3634891825.3333335
2024-05-29,99838.0,2266554849.3333335
2024-05-30,118525.66666666667,3966747501.222223
2024-05-31,123316.0,4871389909.333333
2024-06-01,122896.0,3088260672.0
2024-06-02,125089.0,3767380129.6666665
2024-06-03,132110.0,3639158193.3333335
2024-06-04,100607.0,3564836295.0
2024-06-05,127882.66666666667,3768463619.555556
2024-06-06,110982.66666666667,4280118382.222223
2024-06-07,130345.0,4498614444.333333
2024-06-08,114246.0,3289734486.6666665
2024-06-09,103248.66666666667,2499999076.8888893
2024-06-10,77797.66666666667,1241236695.8888888
2024-06-11,84009.0,939268391.0
2024-06-12,88930.0,3087923388.0
2024-06-13,112991.0,3593287495.0
2024-06-14,105803.33333333333,2304626511.5555563
2024-06-15,71580.33333333333,1887688341.2222223
2024-06-16,86444.33333333333,2469875125.222222
2024-06-17,87854.33333333333,1663776959.8888893
2024-06-18,70527.33333333333,2606788404.888889
2024-06-19,134919.33333333334,3558661674.222222
2024-06-20,135923.66666666666,3694264522.555556
2024-06-21,80890.66666666667,4000766974.222223
2024-06-22,104149.66666666667,1543325714.5555553
2024-06-23,63692.0,1397872128.0
2024-06-24,77805.0,1498622681.6666667
2024-06-25,95547.0,3174318756.3333335
2024-06-26,59396.333333333336,2505653066.5555563
2024-06-27,44860.0,513886016.0
2024-06-28,54313.666666666664,871754447.888889
2024-06-29,46811.0,731252596.3333334
2024-06-30,50902.0,816486892.0
2024-07-01,76649.33333333333,1987366899.5555556
2024-07-02,83073.0,818249212.3333334
2024-07-03,110096.66666666667,2467650975.555555
2024-07-04,119931.66666666667,3495979242.555556
2024-07-05,119020.33333333333,3150476037.222223
2024-07-06,123947.33333333333,3671056292.8888893
2024-07-07,128708.66666666667,3843739562.222223
2024-07-08,123941.0,3969887241.6666665
2024-07-09,95352.33333333333,3539941442.555556
2024-07-10,99555.0,2853393369.6666665
2024-07-11,92322.0,2604990460.0
2024-07-12,112831.66666666667,2407177586.5555553
2024-07-13,65949.33333333333,2521633091.555556
2024-07-14,61984.0,1459197205.3333333
2024-07-15,52587.333333333336,1263401034.222222
2024-07-16,53324.333333333336,920581519.8888888
2024-07-17,69756.33333333333,2264809471.888889
2024-07-18,85043.66666666667,2351412314.555556
2024-07-19,68382.66666666667,2380286904.888889
2024-07-20,77275.0,1875387545.6666667
2024-07-21,77387.0,1731967348.3333333
2024-07-22,72962.66666666667,1580426408.8888893
2024-07-23,66025.33333333333,2342678472.888889
2024-07-24,87625.0,2449628673.6666665
2024-07-25,70064.66666666667,1975142074.222222
2024-07-26,83663.33333333333,2192391316.888889
2024-07-27,86415.33333333333,2418443476.8888893
2024-07-28,81978.0,3155398668.0
2024-07-29,80713.0,1878165735.0
2024-07-30,73824.33333333333,2056754951.8888893
2024-07-31,64994.0,2809094913.3333335
2024-08-01,77875.0,2202366116.3333335
2024-08-02,52223.333333333336,1434117391.5555553
2024-08-03,53912.666666666664,987981316.888889
2024-08-04,65796.0,2002661157.3333333
2024-08-05,62464.0,1602019018.6666667
2024-08-06,65208.333333333336,1747240167.888889
2024-08-07,49317.0,1203876260.3333333
2024-08-08,37076.666666666664,1072624548.888889
2024-08-09,37261.0,672411764.3333334
2024-08-10,49741.333333333336,1293266728.8888888
2024-08-11,50969.0,1263487724.3333333
2024-08-12,65697.33333333333,2627159070.222222
2024-08-13,75698.66666666667,2908833480.8888893
2024-08-14,74473.66666666667,2882691445.222223
2024-08-15,58761.666666666664,1780136559.8888893
