Date,Mean_UV,Variance_UV
2024-03-05,27427.666666666668,1482015247.888889
2024-03-06,27590.333333333332,1599348287.8888884
2024-03-07,26049.0,1278328247.0
2024-03-08,30986.333333333332,1796881527.8888884
2024-03-09,33377.666666666664,2104809365.222224
2024-03-10,34792.666666666664,2253810858.222223
2024-03-11,35976.0,2345663248.0
2024-03-12,35852.666666666664,2407485364.888891
2024-03-13,36669.333333333336,2285015144.88889
2024-03-14,38689.666666666664,2711297791.88889
2024-03-15,29523.333333333332,1511842906.222222
2024-03-16,39518.333333333336,2756311114.555555
2024-03-17,41270.666666666664,2751455619.5555577
2024-03-18,45182.333333333336,3321431402.5555534
2024-03-19,47371.0,3703795359.0
2024-03-20,48772.666666666664,3830719663.555555
2024-03-21,49379.0,3828783524.3333335
2024-03-22,46258.333333333336,3553030317.22222
2024-03-23,47712.0,3369080032.0
2024-03-24,54584.0,4507420170.666667
2024-03-25,54813.333333333336,4555117960.88889
2024-03-26,50610.333333333336,3777052071.88889
2024-03-27,56012.666666666664,4711908506.222224
2024-03-28,51918.0,3856121761.3333335
2024-03-29,59582.333333333336,5228928997.222219
2024-03-30,60566.666666666664,5031760563.555556
2024-03-31,57402.0,5357559820.0
2024-04-01,49885.333333333336,3237067432.888888
2024-04-02,50924.333333333336,3444360575.888888
2024-04-03,70342.33333333333,6619545039.888888
2024-04-04,51879.666666666664,3634266290.555555
2024-04-05,63045.333333333336,4803973534.222222
2024-04-06,73220.66666666667,7011442788.888889
2024-04-07,72896.33333333333,6703381623.888889
2024-04-08,79221.33333333333,7814058504.888893
2024-04-09,78860.66666666667,7752610858.222224
2024-04-10,81130.33333333333,7940388749.222221
2024-04-11,67481.33333333333,6296872307.555557
2024-04-12,69613.33333333333,5458274995.555553
2024-04-13,75669.0,6533160137.666667
2024-04-14,90577.66666666667,9518857013.22222
2024-04-15,89224.66666666667,9405207450.22222
2024-04-16,79101.33333333333,8689532168.888891
2024-04-17,69171.66666666667,5489061237.222221
2024-04-18,95404.33333333333,9852307029.222223
2024-04-19,97787.66666666667,10451104261.222223
2024-04-20,78197.0,8772648009.666666
2024-04-21,87839.33333333333,8320032228.888892
2024-04-22,100313.33333333333,10628923166.222227
2024-04-23,97081.0,10147131228.333334
2024-04-24,97167.0,9620288908.333334
2024-04-25,105189.0,11392029012.333334
2024-04-26,93294.0,9730001073.333334
2024-04-27,89190.33333333333,8297658741.222224
2024-04-28,106184.0,11007802810.666666
2024-04-29,100191.33333333333,10630299300.888893
2024-04-30,108891.33333333333,11537302239.555557
2024-05-01,103614.66666666667,10272594616.888891
2024-05-02,105550.66666666667,10716544606.22222
2024-05-03,109521.0,10991182764.333334
2024-05-04,104857.33333333333,10411766568.88889
2024-05-05,111067.33333333333,11320667503.555555
2024-05-06,120049.33333333333,12912059112.888891
2024-05-07,111521.0,12116877777.666666
2024-05-08,93838.66666666667,9501816024.88889
2024-05-09,53533.666666666664,3059081330.555555
2024-05-10,112481.66666666667,10075906213.222223
2024-05-11,114599.0,12801359276.333334
2024-05-12,104163.0,10181153172.333334
2024-05-13,109412.0,9850266117.333334
2024-05-14,117969.33333333333,12003505224.888891
2024-05-15,106407.33333333333,9854754159.555555
2024-05-16,86448.0,6360850677.333333
2024-05-17,118173.66666666667,11621506077.222223
2024-05-18,98795.66666666667,7918282895.888889
2024-05-19,108646.66666666667,8347681806.222222
2024-05-20,117512.0,12708655978.666666
2024-05-21,106704.66666666667,8104902388.888888
2024-05-22,129182.66666666667,12652794398.222227
2024-05-23,125939.0,11312185460.333334
2024-05-24,118396.66666666667,11514883498.222221
2024-05-25,117062.0,10409856476.0
2024-05-26,117610.0,9951782774.666666
